name,address,country,cost
Arthur Franklin,"P.O. Box 873, 9267 Porta Avenue",New Zealand,2
Imelda Dorsey,Ap #497-7491 Egestas Ave,Canada,9
Ulric Harrington,Ap #726-9628 Mauris Street,Canada,1
Eliana Carey,464-1933 Arcu. Street,India,1
Bernard Woodward,181-1792 Quisque St.,New Zealand,6
Yetta Crane,Ap #293-2979 Egestas. Road,Australia,3
Scarlet Tyson,485-832 Dis Road,France,9
Adena Glass,Ap #157-715 Nec Rd.,Italy,6
Nell Moses,280-7177 Fringilla St.,Nigeria,5
Beau Witt,Ap #399-9269 Integer Street,South Korea,10
Simone Allen,Ap #238-1559 Pede Avenue,Vietnam,2
Melodie Conway,"P.O. Box 490, 9553 Elementum, Street",India,6
Deborah Gill,Ap #271-7136 Est Avenue,Germany,1
Mollie Mcintyre,Ap #998-6685 Condimentum. Ave,Sweden,8
Jameson Parsons,Ap #293-8358 Non Street,Canada,2
Jerome Whitfield,Ap #384-7716 Ornare Av.,Poland,7
Dane Burke,Ap #542-6202 In Road,South Korea,9
Miriam Sutton,Ap #608-1932 Tristique St.,Chile,10
Jonah Chase,Ap #147-4482 Nunc Road,Philippines,9
Vladimir Cotton,251-9775 Tellus Street,Ireland,4
Karina Rivers,9997 Proin Rd.,Ireland,6
Jade Marshall,"P.O. Box 161, 6187 Erat. Ave",Turkey,3
Deirdre Vinson,8934 Sem. Road,Indonesia,0
Elvis Whitney,"P.O. Box 477, 4914 Dui. Ave",Philippines,9
Felicia Parker,9262 Proin Rd.,Germany,8
Yolanda Chapman,575-5240 Nisi Street,Ukraine,10
Yetta Yates,"P.O. Box 298, 6688 Amet Ave",Peru,10
Judith Weaver,373-1956 Tempor St.,South Korea,4
Hamish Acevedo,134-2813 In Street,Colombia,5
Lars Osborn,Ap #543-5658 Purus Ave,Costa Rica,10
Chaney Fox,"3329 Lectus, Av.",Poland,7
Axel Carey,Ap #461-9381 Etiam Av.,South Africa,6
Zachary Fulton,Ap #776-5762 Lacinia St.,Russian Federation,2
Lila Glenn,369-1182 Interdum St.,Mexico,3
September Ray,9106 Duis Ave,France,4
Zelda Cash,Ap #354-7089 Eu Rd.,Vietnam,4
Arsenio Herrera,"P.O. Box 241, 645 Lorem St.",Poland,6
Jonas Green,304-1953 Dolor Rd.,United Kingdom,0
